horizon,model,oof_n,positives,auc,average_precision,brier,log_loss
1Q,full_l2,80,8,0.9253472222222222,0.423530636030636,0.09808143352438835,1.0047406492198794
2Q,full_l2,80,8,0.8350694444444444,0.4442917194990922,0.12149221965594745,0.5042300269579075
3Q,full_l2,80,8,0.7430555555555555,0.223505551291929,0.20046513381363412,0.8572961710604826
1Q,sparse_l1,80,8,0.953125,0.6282061688311688,0.07551423017127752,0.5738519575541213
2Q,sparse_l1,80,8,0.921875,0.5428830227743271,0.09579447664377852,0.32294827178922814
3Q,sparse_l1,80,8,0.8506944444444444,0.36833967932652145,0.1342058193950749,0.40616861582379993
