horizon,model,regime,regime_auc,others_mean,uplift
3Q,smote_xgb,Volcker_to_GFC,0.813745704467354,0.5241534280936455,0.28959227637370843
3Q,xgb_tuned,Volcker_to_GFC,0.859106529209622,0.595892558528428,0.263213970681194
2Q,smote_xgb,Volcker_to_GFC,0.8549828178694158,0.679683102555443,0.17529971531397281
2Q,xgb_tuned,pre_Volcker,0.8439716312056738,0.7273223149511809,0.11664931625449282
1Q,smote_xgb,Volcker_to_GFC,0.8831615120274914,0.7742022762184053,0.10895923580908606
3Q,elastic_net,pre_Volcker,0.8060200668896321,0.7058204467353952,0.10019962015423689
