,mean_abs_shap
FEDFUNDS_d1_roll6,1.1395738
UNRATE_d1_roll3,0.7162632
UNRATE_d1,0.55162436
UNRATE_d1_roll6,0.41819537
CPIAUCSL_lgyoy,0.37339798
CPIAUCSL_lgyoy_roll6,0.3544075
FEDFUNDS_d1,0.34757513
INDPRO_lgyoy_lag2,0.32684842
INDPRO_lgyoy_lag1,0.31484517
INDPRO_lgyoy_lag3,0.27197453
INDPRO_lgyoy_roll3,0.26054066
UNRATE_d1_lag3,0.23507786
FEDFUNDS_d1_roll3,0.20665929
T10Y2Y_lag3,0.19626975
INDPRO_lgyoy,0.18927178
FEDFUNDS_d1_lag3,0.15847376
UNRATE_d1_lag1,0.15781623
CPIAUCSL_lgyoy_lag1,0.14789358
T10Y2Y_roll6,0.14661552
CPIAUCSL_lgyoy_lag3,0.12161924
INDPRO_lgyoy_roll6,0.11624963
FEDFUNDS_d1_lag1,0.09955113
post_2008,0.09446554
FEDFUNDS_d1_lag2,0.09036975
CPIAUCSL_lgyoy_roll3,0.08326457
T10Y2Y_lag1,0.082988225
BAA10Y_lag2,0.07165525
UNRATE_d1_lag2,0.06561982
CPIAUCSL_lgyoy_lag2,0.044291172
T10Y2Y,0.031147439
T10Y2Y_lag2,0.028589275
BAA10Y,0.025173893
BAA10Y_lag1,0.017816465
BAA10Y_roll3,0.014327483
BAA10Y_roll6,0.012798156
T10Y2Y_roll3,0.010682414
BAA10Y_lag3,0.010308871
post_2020,0.0
