shap_rank,shap_feature,coef_rank,coef_feature
1,FEDFUNDS_d1_roll6,1,FEDFUNDS_d1_roll6
2,UNRATE_d1_roll3,2,post_2020
3,T10Y2Y_lag3,3,T10Y2Y_roll6
4,INDPRO_lgyoy,4,T10Y2Y_lag3
5,INDPRO_lgyoy_lag1,5,T10Y2Y
6,CPIAUCSL_lgyoy,6,BAA10Y_lag3
7,UNRATE_d1_roll6,7,INDPRO_lgyoy_lag1
8,FEDFUNDS_d1_lag3,8,BAA10Y
9,INDPRO_lgyoy_lag2,9,BAA10Y_roll6
10,INDPRO_lgyoy_roll3,10,BAA10Y_roll3
11,T10Y2Y_roll6,11,CPIAUCSL_lgyoy_lag2
12,INDPRO_lgyoy_lag3,12,BAA10Y_lag1
13,FEDFUNDS_d1_roll3,13,UNRATE_d1_roll6
14,FEDFUNDS_d1_lag1,14,UNRATE_d1_lag2
15,CPIAUCSL_lgyoy_lag3,15,UNRATE_d1_roll3
