,mean_abs_shap
FEDFUNDS_d1_roll6,1.4747151
UNRATE_d1_roll3,0.5054993
T10Y2Y_lag3,0.31513157
INDPRO_lgyoy,0.31178087
INDPRO_lgyoy_lag1,0.300909
CPIAUCSL_lgyoy,0.2866112
UNRATE_d1_roll6,0.265726
FEDFUNDS_d1_lag3,0.25710902
INDPRO_lgyoy_lag2,0.22249283
INDPRO_lgyoy_roll3,0.21701132
T10Y2Y_roll6,0.1979767
INDPRO_lgyoy_lag3,0.18605344
FEDFUNDS_d1_roll3,0.17466082
FEDFUNDS_d1_lag1,0.16819754
CPIAUCSL_lgyoy_lag3,0.15914431
UNRATE_d1,0.15222737
FEDFUNDS_d1,0.15004303
CPIAUCSL_lgyoy_roll6,0.13230647
UNRATE_d1_lag3,0.11994312
FEDFUNDS_d1_lag2,0.10167323
CPIAUCSL_lgyoy_lag2,0.09438753
post_2008,0.08738191
UNRATE_d1_lag1,0.08640134
UNRATE_d1_lag2,0.0843788
BAA10Y,0.08357375
INDPRO_lgyoy_roll6,0.07924519
CPIAUCSL_lgyoy_roll3,0.063645
T10Y2Y,0.04067117
BAA10Y_roll3,0.037248302
BAA10Y_lag1,0.029217752
T10Y2Y_lag2,0.025937622
CPIAUCSL_lgyoy_lag1,0.024393838
T10Y2Y_roll3,0.014367629
BAA10Y_lag2,0.011824939
T10Y2Y_lag1,0.01019581
BAA10Y_roll6,0.008214979
BAA10Y_lag3,0.00754415
post_2020,0.0
