horizon,model,mean_auc,std_auc,min_auc,max_auc,auc_range,n_regimes
1Q,elastic_net,0.8378880075878744,0.031142489422136176,0.804147465437788,0.865530303030303,0.06138283759251495,3
1Q,xgb_tuned,0.8512538624402608,0.04274639691051175,0.8133640552995393,0.8975945017182131,0.08423044641867383,3
1Q,smote_xgb,0.8105220214881005,0.06295014758922315,0.771889400921659,0.8831615120274914,0.11127211110583235,3
2Q,elastic_net,0.7794021206575129,0.06042640571780282,0.7275132275132276,0.8457446808510639,0.11823145333783636,3
2Q,xgb_tuned,0.7662054203693452,0.1101088430347821,0.6402116402116402,0.8439716312056738,0.20375999099403352,3
2Q,smote_xgb,0.7381163409934338,0.12529593907935616,0.6058201058201058,0.8549828178694158,0.24916271204930995,3
3Q,elastic_net,0.7392203201201409,0.07227251020758402,0.6625,0.8060200668896321,0.14352006688963215,3
3Q,xgb_tuned,0.6836305487554927,0.16514395284222408,0.53125,0.859106529209622,0.32785652920962205,3
3Q,smote_xgb,0.6206841868848816,0.1912736498579629,0.43125,0.813745704467354,0.3824957044673539,3
