shap_rank,shap_feature,coef_rank,coef_feature
1,FEDFUNDS_d1_roll6,1,post_2020
2,UNRATE_d1_roll3,2,FEDFUNDS_d1_roll6
3,UNRATE_d1,3,T10Y2Y_roll6
4,UNRATE_d1_roll6,4,T10Y2Y
5,CPIAUCSL_lgyoy,5,BAA10Y_roll6
6,CPIAUCSL_lgyoy_roll6,6,T10Y2Y_lag3
7,FEDFUNDS_d1,7,BAA10Y
8,INDPRO_lgyoy_lag2,8,UNRATE_d1_roll6
9,INDPRO_lgyoy_lag1,9,UNRATE_d1_lag3
10,INDPRO_lgyoy_lag3,10,BAA10Y_lag2
11,INDPRO_lgyoy_roll3,11,INDPRO_lgyoy_lag2
12,UNRATE_d1_lag3,12,UNRATE_d1
13,FEDFUNDS_d1_roll3,13,FEDFUNDS_d1
14,T10Y2Y_lag3,14,INDPRO_lgyoy_lag1
15,INDPRO_lgyoy,15,CPIAUCSL_lgyoy_lag3
