horizon,lstm_auc,lstm_ap,baseline_auc,delta_auc,verdict
1Q,0.8159722222222222,0.3841855076230076,0.9670138888888888,-0.15104166666666663,NO-GO
2Q,0.8020833333333334,0.4129783890300306,0.9496527777777777,-0.1475694444444443,NO-GO
3Q,0.7795138888888888,0.45663966365873665,0.8350694444444445,-0.05555555555555569,NO-GO
